QRMS LINE#,,Reported Date,Source,Category,Issue Description,Status,Containment Action,Corrective Action,Sub-Category,Product,Priority,Severity,Reported by,Assigned To,Target Closure Date,Target Release Date,Resolution Details,Ageing (Days),SLA Breach?,Remarks,VIN,Offline Comm./Internal Notes
1,17,10 April 2026,QRMS,Safe Mode,Safe mode Message in Cluster,InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev2,Field,Srini,TBD,,Unable to replicate the Bit05 issue. Other issues related to SOM is handled as part of rel 1.0.4,143,,"31/08: Engineering team should come back on the Fakra cable related issues, (After replacing Fakra Cable in 4 bikes, 2 bikes reported again for the same issue- Still not clear its Design / Digital Issue)

Bit-05 issue identified in only one vehicle. Logs collected and analysis is WIP. The fix for this issue will be available as part of 1.0.4 release.

Observed in 1 out 10000 ignition packets (Highly challenging to reproduce) 
",,
3,47,21 June 2026,QRMS,APP,New rides not logged after 19 Jun - Trips Missing,InProgress,Complete,In Progress,Bug,CBP,P2,Sev3,Field,Basanth,REL 1.0.4,July Sprint,"Telemetry buffer issue will be fixed in next OTA update, below corrective logic will be aprt of it
1. There wont be any telemetry packet created when Mech-App is connected
2. Tele buff size increased from 10 MB to 50 MB
3. Automated time-out added to stop any improper disconnectedion scenario ",71,,"31/08: Non availability of Trip Packet. Working with QC for a Fix.(CBP)
SF id : 08657675

RCA:Trip completion logic change implemented
(Testing in progress)
Additional logs implemented to narrow down between data missing from the vehicle or Cloud side)




31/07: Upon further analysis, we found that the cloud did not receive a ""Trip Stop"" message, it could not update the trip status to ""Completed,"" resulting in the trip being marked as ""Stop Missed."" This happened because rebooting the SOM during an active trip causes the current trip data to be lost. Specifically, this issue was observed when the SOM rebooted after the VCU_Data__Veh_Authentication_Flag_RX_V value was set to ""1"". 

Need vehicle visit to further deep dive on why the SOM reboot was initiated.

There is a fix to be deployed to identify /Mitigate
1) Is there a data loss during Trip from Device Side
2) Even on a missed ignition OFF data- how to compute Trip completeion with available data?.",ME3PA1AAET2000039,
4,48,21 June 2026,QRMS,APP,Lock events no notifications generated - Lock Screen Notifications missing,InProgress,Complete,In Progress,Bug,CBP,P3,Sev4,Field,Basanth,REL 1.0.4,July Sprint,"Telemetry buffer issue will be fixed in next OTA update, below corrective logic will be aprt of it
1. There wont be any telemetry packet created when Mech-App is connected
2. Tele buff size increased from 10 MB to 50 MB
3. Automated time-out added to stop any improper disconnectedion scenario ",71,,"31/08: Delay packet transmission from B2C. Open ticket with QC (CBP)

SF id : 08670413

RCA: Lock notification data missing in cloud itself(Not arrived)- Team analysing the issue for a triage.",ME3PA1AAET2000039,"29/07 - As per CBP, CLOUD didn't receive lock notification from vehicle/device. This could be due to possible cold boot happened on the vehicle."
5,55,22 June 2026,QRMS,NCV,Vehicle Non-Communication - Time back date,InProgress,Complete,In Progress,New Dev,CBP,P3,Sev2,Field,Basanth,REL 1.0.4,July Sprint,"* Manual Clock Adjustment - Resolved the Issues.
* Long Term fix: Disable of manual time & date entry in july software release (Digital Factory)",70,,"31/08: Manual Reset option to user to be removed

Automated Time Sync alone. Remove the manual time update option will be part of the July release

RCA: Manual time reset shift allowed for the users - Backdated time being set

 ",ME3PA1AADT2000034,
6,65,29 June 2026,QRMS,PWD Issue,Password entry wrong indication-malfunction - The customer has entered the correct set Pwd but it is showing as wrong pwd and lock and unlock is also not functioning in FFApp,InProgress,Complete,Complete,As Designed,RE.OS,P3,Sev2,Field,Srini,REL 1.0.4,July Sprint,"* Changed the password and given to the user and its working fine < Process GAP??>
* Pin should be set with OTP entry which is received at customer end",63,,"Actions

1) Confirm the RCA  with PO & Update back in QRMS.
2) If process gap or fix - Revert back to QRMS for Closure

** Missing FOR Link - Follow up with GRID to attach the same..",,
8,74,1 July 2026,QRMS,Wifi Disconnect,"Home wifi disconnects while opening FF App - ""Whenever the FFApp is opened the Wi-Fi gets disconnected on the phone . Especially when he’s opening navigation page or trip summary page… it’s disconnecting him from the home Wi-Fi as well... Phone used - XAIOMI 11X Pro",Closed,NA,NA,As Designed,FFAPP,P3,Sev4,Field,Rakendu,20-Aug-2026,July Sprint,"* Android 14 and below is facing this issue, FAQ document to be updated ( No Fix)",61,,"Actions:

** Confirm with PO , if FAQ is updated 
** Reveft back to QRMS for closure"," 
ME3PA1AAET2000012",
9,75,1 July 2026,QRMS,APP,Data Not syncing with Mobile App,InProgress,In Progress,In Progress,As Designed,CBP,P3,Sev4,Field,Basanth,REL 1.0.4,July Sprint,"SOM Reboot - Intended behaviour, Data won't be restored

Telebuffer overflow issue - Fix available in 1.0.4... Currently have to clear Telebuff manually

Non-Communication due to network issues - auto resolve (no action needed)",61,,,"ME3PA1AAET2000058

",
10,78,3 July 2026,QRMS,Wifi Disconnect,Wifi is not getting connected ( Unable to see the navigation),InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev2,Field,Srini,REL 1.0.4,July Sprint,"** WiFi access point not broadcasting sometimes.

** Once access point was enabled, wifi connection was active.

** We are building a watcher so that whenever wifi is off, it will be ON automatically",59,,"Actions:

** ET for fix & PROD Validation 

** QRMS Closure",ME3PA1AAET2000008,
11,81,3 July 2026,QRMS,Cluster Flickering Issue,Phone call not visible in Cluster - Dialer service was missing the power cycle hence phone app on cluster was not working.,InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev2,Field,Srini,REL 1.0.4,July Sprint,"* rebooting the system will solve the issue.

* Dialer service moved out of power cycle management, instead it is taken care with SOM_Sts ensuring it is never missed once SOM boots up.( July Release)",59,,"Actions:

** ET fot fix & PROD Validation 

** QRMS Closure",ME3PA1AAET2000008,
13,89,16 July 2026,QRMS,APP,Customer FF App signed out automatically multiple times,Closed,Complete,Complete,Bug,FFAPP,P2,Sev2,GRID,Rakendu,,July Sprint,"28-Jul: Issue identified: Network drop scenario when user transitions to Homescreen and subsequent JWT token authentication failure causing logout method being called. 

Analysis: The investigation traced this to the JWT refresh flow, where the interceptor treated any failure during token regeneration — a bad server response or an unrelated exception — as if it meant the session itself was invalid, and force-logged the user out as a result. In this case the network drop was invalidating the session and forcing log out

Action: Scenario handled by ensuring ""Logout""  fires only when the server explicitly signals the session is no longer valid (403). Transient failures and unrelated exceptions in the refresh flow no longer force users out of the app.",46,,"Issue identified: Network drop scenario when user transitions to Homescreen and subsequent JWT token authentication failure causing logout method being called. 

Analysis: The investigation traced this to the JWT refresh flow, where the interceptor treated any failure during token regeneration — a bad server response or an unrelated exception — as if it meant the session itself was invalid, and force-logged the user out as a result. In this case the network drop was invalidating the session and forcing log out

Action: Scenario handled by ensuring ""Logout""  fires only when the server explicitly signals the session is no longer valid (403). Transient failures and unrelated exceptions in the refresh flow no longer force users out of the app.

11/08: Changes have been pushed to customers... However it might take some time for all customers to receive the update (standard android and iOS app process",ME3PA1AAET2000008,
