Reported Date,Category,Issue Description,Status,Containment Action,Corrective Action,Sub-Category,Product,Priority,Severity,Reported by,Assigned To,Target Closure Date,Resolution Details,Remarks,VIN
10 April 2026,Safe Mode,Safe mode Message in Cluster,InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev 2,Field,Srini,TBD,Unable to replicate the Bit05 issue. Other issues related to SOM is handled as part of rel 1.0.4,,
21 June 2026,APP,New rides not logged after 19 Jun - Trips Missing,InProgress,Complete,In Progress,Bug,CBP,P2,Sev 3,Field,Basanth,REL 1.0.4,"Telemetry buffer issue will be fixed in next OTA update, below corrective logic will be aprt of it
1. There wont be any telemetry packet created when Mech-App is connected
2. Tele buff size increased from 10 MB to 50 MB
3. Automated time-out added to stop any improper disconnection scenario ","
31/07: Upon further analysis, we found that the cloud did not receive a ""Trip Stop"" message, it could not update the trip status to ""Completed,"" resulting in the trip being marked as ""Stop Missed."" This happened because rebooting the SOM during an active trip causes the current trip data to be lost. Specifically, this issue was observed when the SOM rebooted after the VCU_Data__Veh_Authentication_Flag_RX_V value was set to ""1"". 

Need vehicle visit to further deep dive on why the SOM reboot was initiated.

There is a fix to be deployed to identify /Mitigate
1) Is there a data loss during Trip from Device Side
2) Even on a missed ignition OFF data- how to compute Trip completeion with available data?


Live data syncing with latency in cloud could be the actual RCA?",ME3PA1AAET2000039
21 June 2026,APP,Lock events no notifications generated - Lock Screen Notifications missing,InProgress,Complete,In Progress,Bug,CBP,P3,Sev 4,Field,Basanth,REL 1.0.4,"Telemetry buffer issue will be fixed in next OTA update, below corrective logic will be aprt of it
1. There wont be any telemetry packet created when Mech-App is connected
2. Tele buff size increased from 10 MB to 50 MB
3. Automated time-out added to stop any improper disconnection scenario ",Live data syncing with latency in cloud could be the actual RCA?,ME3PA1AAET2000039
22 June 2026,NCV,Vehicle Non-Communication - Time back date,InProgress,Complete,In Progress,New Dev,CBP,P3,Sev 2,Field,Basanth,REL 1.0.4,"* Manual Clock Adjustment - Resolved the Issues.
* Long Term fix: Disable of manual time & date entry in rel 1.0.4 software release (Digital Factory)",,ME3PA1AADT2000034
29 June 2026,PWD Issue,Password entry wrong indication-malfunction - The customer has entered the correct set Pwd but it is showing as wrong pwd and lock and unlock is also not functioning in FFApp,InProgress,Complete,Complete,Working As Designed,RE.OS,P3,Sev 2,Field,Srini,REL 1.0.4,"Pin set up starting with 0 had issues, this issue was identified and fixed in rel 1.0.4",,
1 July 2026,Wifi Disconnect,"Home wifi disconnects while opening FF App - ""Whenever the FFApp is opened the Wi-Fi gets disconnected on the phone . Especially when he’s opening navigation page or trip summary page… it’s disconnecting him from the home Wi-Fi as well... Phone used - XAIOMI 11X Pro",Closed,NA,NA,Working As Designed,FFAPP,P3,Sev 4,Field,Rakendu,20-Aug-2026,"* Android 14 and below is facing this issue, Owner's manual updated.",," 
ME3PA1AAET2000012"
1 July 2026,APP,Data Not syncing with Mobile App,InProgress,In Progress,In Progress,Bug,CBP,P3,Sev 4,Field,Basanth,REL 1.0.4,"SOM Reboot - Intended behaviour, Data won't be restored

Telebuffer overflow issue - Fix available in 1.0.4... Currently have to clear Telebuff manually

Non-Communication due to network issues - auto resolve (no action needed)",,"ME3PA1AAET2000058

"
3 July 2026,Wifi Disconnect,Wifi is not getting connected ( Unable to see the navigation),InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev 2,Field,Srini,REL 1.0.4,"** WiFi access point not broadcasting sometimes.

** Once access point was enabled, wifi connection was active.

** We are building a watcher so that whenever wifi is off, it will be ON automatically",,ME3PA1AAET2000008
3 July 2026,Cluster Flickering Issue,Phone call not visible in Cluster - Dialer service was missing the power cycle hence phone app on cluster was not working.,InProgress,Complete,In Progress,Bug,RE.OS,P2,Sev 2,Field,Srini,REL 1.0.4,"* rebooting the system will solve the issue.

* Dialer service moved out of power cycle management, instead it is taken care with SOM_Sts ensuring it is never missed once SOM boots up.( Release 1.0.4)",,ME3PA1AAET2000008
16 July 2026,APP,Customer FF App signed out automatically multiple times,Closed,Complete,Complete,Bug,FFAPP,P2,Sev 2,GRID,Rakendu,,"28-Jul: Issue identified: Network drop scenario when user transitions to Homescreen and subsequent JWT token authentication failure causing logout method being called. 

Analysis: The investigation traced this to the JWT refresh flow, where the interceptor treated any failure during token regeneration — a bad server response or an unrelated exception — as if it meant the session itself was invalid, and force-logged the user out as a result. In this case the network drop was invalidating the session and forcing log out

Action: Scenario handled by ensuring ""Logout""  fires only when the server explicitly signals the session is no longer valid (403). Transient failures and unrelated exceptions in the refresh flow no longer force users out of the app.","Issue identified: Network drop scenario when user transitions to Homescreen and subsequent JWT token authentication failure causing logout method being called. 

Analysis: The investigation traced this to the JWT refresh flow, where the interceptor treated any failure during token regeneration — a bad server response or an unrelated exception — as if it meant the session itself was invalid, and force-logged the user out as a result. In this case the network drop was invalidating the session and forcing log out

Action: Scenario handled by ensuring ""Logout""  fires only when the server explicitly signals the session is no longer valid (403). Transient failures and unrelated exceptions in the refresh flow no longer force users out of the app.

11/08: Changes have been pushed to customers... However it might take some time for all customers to receive the update (standard android and iOS app process",ME3PA1AAET2000008
